Sample,Strain,THC-Total,CBD-Total
Affgoo 0337,,21.39%,0.18%
Affgoo 0334,,17.95%,0.14%
OG Dreams #3,,18.86%,0.16%
Jack’s Dream 1954,,18.90%,0.21%
Ape’s Dream 1904,,21.89%,0.19%
VR #1,,23.50%,0.22%
Blueberry Cookies 7B03-A08-1,,15.80%,0.16%
MTF 2A02-15-S,,25.33%,0.27%
Dr. Who 7A02-A16-1,,21.36%,0.18%
Durban Poison A03-A14-S,,22.26%,0.25%
Blue City Diesel,,13.83%,0.09%
Blood Wreck,,18.81%,0.11%
Cookies n Cream UV,,26.72%,0.21%
Fruity Pebbles,,24.75%,0.29%
Black Spirit,,21.76%,0.13%
Dutch Burre,,17.03%,0.14%
Sweet Pebbles,,15.81%,0.11%
Cream Crack,,21.64%,0.25%
Crazy Glue (GG #4),,25.16%,0.14%
Black Cherry Soda,,24.69%,0.21%
Purple Durban,,18.05%,0.11%
Presidential Kush,,17.69%,0.10%
Gorilla Glue,,,
X2,,20.56%,0.10%
X1,,21.81%,0.15%
X4,,19.53%,0.18%
X3,,9.28%,11.43%
South Sound Gardens,,21.48%,0.21%
UK Cheese,,17.61%,0.12%
Aurora,,19.52%,0.38%
Chocolate,,18.21%,0.26%
Hawaiian Big Bud,,21.71%,0.14%
Tangerine Power,,19.17%,0.15%
5H,,2.07%,< 0.01%
PK,,1.69%,< 0.01%
The White #4 600,,27.52%,0.21%
Cookies n Cream,,26.15%,0.24%
Starfighter,,18.90%,0.17%
Fruity Pebbles,,25.11%,0.33%
The White #2,,29.67%,0.25%
Lemon OG,,24.69%,0.20%
NYPD,,13.23%,0.16%
Animal Cookies,,18.96%,0.11%
Purple Mango Flower,,23.87%,0.15%
Intimidator OG,,18.63%,0.17%
Plushberry,,N/A,N/A
P.I.E (LEC),,24.62%,0.23%
Bay Dream (The Green Terrapin),,24.36%,0.20%
Kush #1,,18.69%,0.03%
Kush #4,,17.35%,< 0.01%
Platinum Girl Scout Cookies,,26.76%,0.16%
Dark Cherry Soda,,27.76%,0.28%
Green Crack,,24.73%,0.25%
Cactus (Dutch Treat x NL #5),,23.41%,0.21%
Dutch Treat,,23.74%,0.21%
DJ Short’s Blueberry,,23.41%,0.15%
Blue Orca,,19.09%,0.25%
Cin Scouts,,17.63%,0.14%
Harlequin,,4.67%,6.64%
Holly Daze,,19.32%,0.10%
Mango Haze,,16.55%,0.18%
Blue Treat,,19.23%,0.27%
Organic White Widow,,23.93%,0.28%
Face/Off Cookies,,16.27%,0.16%
Bubblicious “C”,,17.49%,0.16%
Big Buddha Cheese,,21.08%,0.22%
Dog Treat,,25.86%,0.13%
OGKB,,25.02%,0.16%
Black Cherry Soda,,25.73%,0.25%
Northern Lights #5,,21.03%,0.18%
Charlotte’s Web,,0.84%,13.00%
Forum Cut Girl Scout Cookies,,21.84%,0.11%
#93,,13.44%,0.06%
Gorilla Glue #4,,21.85%,0.30%
Cotton Candy,,14.01%,0.29%
XJ-13,,21.01%,0.22%
619,,23.97%,0.19%
Durban,,19.76%,0.15%
Cheese,,17.11%,0.15%
Blackberry Trainwreck 7A03-A08-1,,16.74%,0.11%
MTF 7A03-A08-1,,22.26%,0.24%
Purple Kush 7A03-A08-1,,22.18%,0.15%
Screaming Loud,,20.77%,0.21%
Gasoline Alley,,23.00%,0.25%
Willie’s Wonder,,22.61%,0.19%
Banana Kush,,N/A,N/A
SP01,,20.82%,0.23%
Lemony,,17.34%,0.17%
Pepe La Pue,,13.43%,0.10%
Purple Sunshine,,17.59%,0.16%
Pink Bam Bam,,14.82%,0.11%
Purple Velvet,,18.73%,0.18%
Funky Town,,11.69%,0.10%
Snow Leopard,,20.38%,0.19%
Glazed Cherry,,10.80%,0.07%
Fuego (R+J Farms),,21.39%,0.20%
CBD Crew Yummy #2 (R+J Farms),,0.96%,13.73%
Gorilla Glue R+J Farms),,8.75%,10.63%
Mt. Rainier (R+J Farms),,24.11%,0.25%
Sour Diesel (R+J Farms),,22.40%,0.26%
OG Raskal,,6.25%,9.35%
Blue Sugar Cookies,,13.91%,0.09%
BBTW,,16.98%,0.25%
Pink Lemonade,,19.59%,0.14%
Purple Chemdawg,,22.45%,0.15%
Foreign Genetics,,11.30%,0.11%
Purple Elephant,,8.51%,0.05%
Mango Haze 2nd Test,,18.92%,0.16%
Dwarf Frankenstein,,15.63%,0.12%
Space Queen,,17.92%,0.13%
Cranberry Delight,,1.07%,13.53%
Diablo OG Kush B,,18.49%,0.18%
Blue Heisenberg,,17.31%,0.20%
Lemon OG,,22.05%,0.17%
Blackberry Kush,,23.27%,0.20%
G1,,17.38%,0.05%
Chocolate Thai,,15.49%,0.13%
Durban Poison,,17.30%,0.14%
Gorilla Glue #4,,20.26%,0.10%
Cookies N Cream,,23.81%,0.22%
Thin Mint GSC,,21.57%,0.10%
GC Labs Platinum GSC,,19.37%,0.11%
GC Labs Cherry Pie,,19.89%,0.14%
GC Labs Green Crack,,19.77%,0.16%
GC Labs Tangerine Banana Suprise,,16.27%,0.11%
GC Labs Bruce Banner #3,,25.52%,0.23%
Critical Plus,,18.96%,0.23%
God Bud,,13.22%,0.17%
39 HTSU 15F,,0.48%,11.47%
34 CTSU 15F,,0.41%,10.18%
38 HTSU 15F,,0.46%,10.37%
God Bud,,18.09%,0.07%
BlueBerry Sour Diesel (BBSD),,15.06%,0.08%
Sapphire Star,,21.90%,0.09%
Dragon Wreck,,17.26%,0.13%
Pineapple Kush,,17.76%,0.10%
Pineapple,,24.26%,0.24%
Purple Kush,,N/A,N/A
Green Crack,,N/A,N/A
AC/DC,,0.74%,11.11%
Alien Kush,,13.29%,0.05%
Pink Haze (Dojo Gardens),,23.52%,0.23%
Green Crack (Dojo Gardens),,24.14%,0.21%
Sweet Black Angel (R+J Farms),,19.62%,0.15%
Girl Scout Cookies,,23.88%,0.21%
SFV OG Kush,,13.35%,0.10%
Great White Shark,,13.89%,0.13%
Papaya,,18.39%,0.17%
Remedy,,0.90%,12.16%
Moon Walker,,27.41%,0.14%
Cinex,,14.10%,0.11%
F@cking Incredible,,27.75%,0.22%
Ghost Train Haze,,13.67%,0.13%
Northern Lights,,19.41%,0.14%
JBM,,17.29%,0.09%
CC,,15.40%,0.19%
CRM,,17.59%,0.09%
#9,,10.26%,0.06%
PE,,16.46%,0.09%
Agent Orange,,19.44%,0.17%
Chemdawging,,21.34%,0.22%
Industrial Hemp (Germany),,0.09%,2.50%
OG Kush,,13.34%,0.08%
Sour Blueberry,,14.27%,0.10%
Strawberry Diesel,,17.11%,0.08%
Space Candy,,18.84%,0.13%
Mendo Breath,,21.06%,0.12%
ACDC,,0.10%,1.28%
Charlotte’s Web,,0.48%,0.91%
Harlequin,,1.71%,< 0.01%
Cannatonic,,1.41%,< 0.01%
Harlequin,,20.85%,0.19%
Cannatonic,,19.86%,0.18%
Charlotte’s Web,,3.60%,5.62%
Chernobyl,,15.61%,0.14%
Ogre Kush,,18.73%,0.17%
Lavender,,16.68%,0.07%
Test 1,,6.36%,< 0.01%
Test 3,,14.63%,0.10%
Test 2,,18.69%,0.16%
Test 6,,22.21%,0.20%
Test 5,,17.35%,0.15%
Test 4,,17.09%,0.16%
Test 8,,19.03%,0.15%
Test 7,,6.66%,0.03%
Blue Dream 316,,23.29%,0.28%
Blue Dream,,23.49%,0.27%
Purple OG Kush,,22.68%,0.22%
Thin Mint,,20.79%,0.12%
Glue #4,,17.86%,0.09%
Cookies & Cream,,24.92%,0.24%
Lady Boy,,20.60%,0.21%
Albert Walker,,23.39%,0.31%
Full Moon,,16.72%,0.37%
White Rhino,,17.14%,0.13%
Blueberry,,18.51%,0.17%
Blackberry,,11.96%,0.11%
Tangerine Dream,,15.77%,0.11%
Platinum,,15.19%,0.13%
Gump B,,21.12%,0.18%
Gump A,,20.05%,0.15%
Green Crack,,21.09%,0.14%
Red Thai GWK 420 SPK,,13.98%,0.11%
Durban Poison (Olympia Mike),,25.18%,0.27%
ACDC (Olympia Mike),,0.45%,10.41%
Kryptonite (Olympia Mike),,19.51%,0.18%
Sour Diesel (Olympia Mike),,23.16%,0.28%
Gorilla Glue #4 (Olympia Mike),,23.19%,0.15%
Sour Double Kush (Olympia Mike),,26.70%,0.23%
Olympia Mike Cookies,,22.62%,0.14%
Blue Magoo (Olympia Mike),,20.93%,0.22%
Grand Daddy Purple (Olympia Mike),,25.97%,0.28%
Amnesia Haze (R+J Farms),,26.19%,0.27%
Tangerine Dream (R+J Farms),,21.33%,0.22%
Super Lemon Haze (Olympia Mike),,19.54%,0.14%
DJ Short’s Blueberry,,N/A,N/A
Chocolope,,N/A,N/A
White Russian,,N/A,N/A
Blue Afghani,,N/A,N/A
OG Kush,,N/A,N/A
Purple Sour Diesel,,N/A,N/A
Sour Diesel,,N/A,N/A
Cinex,,N/A,N/A
Chernobyl,,N/A,N/A
Lamb’s Bread Mango,,N/A,N/A
Granddaddy Purple,,N/A,N/A
Dutch Treat,,24.95%,0.23%
White Russian,,19.77%,0.19%
Afgoo,,16.65%,0.22%
Cali Kush,,26.17%,0.22%
Bubbalicious,,10.36%,0.10%
Querkle,,18.89%,0.16%
Permafrost,,18.98%,0.16%
Great White Shark,,16.06%,0.04%
Jack Herer,,17.91%,0.22%
Chocolope,,15.38%,0.12%
BB,,20.58%,0.16%
OGP,,18.29%,0.20%
DT,,24.46%,0.21%
Trinity,,17.33%,0.12%
Hogg,,21.95%,0.23%
JH,,19.04%,0.24%
Bay Dream,,21.03%,0.22%
CK,,17.82%,0.16%
CD/AS,,13.20%,4.65%
Florida Lemons,,23.37%,0.26%
GG #4,,22.94%,0.04%
Triple Cheese,,11.05%,< 0.01%
Blue City Diesel,,13.02%,0.25%
9lb Hammer,,30.61%,0.30%
Bruce Banner,,20.72%,0.17%
Tahoe OG,,22.04%,0.25%
Hell Raiser,,25.83%,0.23%
DT-13-WC,,23.89%,0.23%
Tajar,,17.30%,0.11%
Conquest,,12.77%,0.14%
Dutch Treat,,24.45%,0.24%
Super Silver Haze,,26.76%,0.15%
Snow Leopard,,24.25%,0.13%
Gorilla Glue,,19.12%,0.19%
Deep Purple,,14.90%,0.11%
Cinex,,19.42%,0.16%
Cheese,,17.45%,0.17%
GSC,,21.32%,0.13%
Gorilla Glue #4,,21.82%,0.12%
White Fire OG,,22.34%,0.24%
UK Cheese,,25.98%,0.24%
AK-47,,16.80%,0.24%
CBDgod5,,13.50%,0.24%
CK,,N/A,N/A
HAR,,N/A,N/A
RB,,N/A,N/A
PSD,,N/A,N/A
BBK,,N/A,N/A
PK,,N/A,N/A
24K,,23.92%,0.21%
Blue Rhino,,20.36%,0.17%
Dutch Treat,,24.88%,0.24%
Marionberry Kush,,20.81%,0.23%
Ewok,,21.18%,0.16%
Grape OG,,24.06%,0.18%
Pine Drops,,19.34%,0.18%
Purple Kush,,20.86%,0.13%
HD 3WM,,25.50%,0.25%
Charolotte’s Web,,0.36%,12.38%
Bubba Kush,,21.80%,0.14%
CD 11-5 PWD,,2.75%,7.10%
Jack Herer (BP1),,18.78%,0.23%
Nobyl Charlotte #3 (His and Her Grow),,19.61%,0.11%
Garden L-2,,0.79%,14.05%
Garden M-4,,0.74%,13.95%
Last Run New Tank 1st,,13.25%,< 0.01%
Spoon Out Of Big Bag,,11.71%,0.15%
Purple Elephant,,16.61%,< 0.01%
Mendocino,,15.55%,< 0.01%
Britt 0710,,N/A,N/A
Underdog OG #4,,17.74%,0.16%
Underdog OG B,,16.47%,0.15%
Cinderella 99 #3,,14.82%,< 0.01%
Krystalia,,15.21%,0.08%
Kimbo (DB),,25.58%,0.20%
Super Lemon Haze (DB),,14.95%,0.09%
Snow Leopard,,16.50%,0.16%
Gorilla Glue #4,,17.44%,0.09%
Race Fuel,,21.49%,0.19%
Locktite,,22.27%,0.15%
Green Day GWK/420SPK,,14.33%,0.08%
Moon Walker,,18.50%,0.14%
Master Kush,,21.03%,0.12%
Mash (Blend),,12.74%,0.09%
Blueberry Kush,,24.73%,0.20%
710 Cheese,,21.66%,0.19%
G2,,24.78%,< 0.01%
Blue Dream 7B02-A02-1,,22.95%,0.23%
Chocolate Kush 7B02-A02-2,,18.56%,0.15%
Raspberry Kush 7A02-A09-1,,18.56%,0.15%
Pre-98 Bubba Kush,,20.89%,0.31%
Blackberry,,16.43%,0.13%
Lavender,,15.67%,0.06%
White Fire OG,,14.89%,0.13%
White Russian,,20.56%,0.21%
Cookies + Cream,,21.54%,0.11%
Cinex,,13.67%,0.11%
Trim,,14.28%,0.15%
1st Run 4 Hour,,2.40%,0.22%
6H THC 3 Run,,21.42%,0.25%
VAL 15E,,0.68%,13.29%
HT 1815,,3.90%,8.86%
PT 15E,,0.68%,14.52%
MT.O.G.,,22.75%,0.22%
MT.BH,,17.55%,0.14%
Hawaiian Dutch,,19.10%,0.22%
Double Purple Doja,,13.40%,0.06%
Kimbo Kush,,18.67%,0.19%
Mint Chocolate Chip,,20.09%,0.22%
Gorilla Glue #4,,20.56%,0.12%
Gorilla Glue,,26.32%,0.13%
Bush Heaque,,24.98%,0.24%
Golden Goat,,22.28%,0.17%
Jack Skellington,,15.14%,0.09%
MTGSC,,17.64%,0.07%
Maui Wowi,,21.35%,0.21%
Green Cheese,,20.09%,0.23%
Green Crack,,21.23%,0.18%
Dutch Treat,,19.06%,0.12%
Obama Kush,,16.48%,0.08%
Northern Lights #5 x Super Silver Haze,,14.39%,0.13%
Tsunami VII,,5.47%,12.03%
LA Confidential x UK Cheese,,12.59%,0.10%
LA Confidential x Grape Ape,,17.67%,0.21%
Banana Kush,,19.02%,0.14%
Vietnamese Black,,14.59%,0.15%
Blue Dream,,20.09%,0.24%
ACDC,,0.84%,14.61%
Durango OG,,14.06%,0.07%
FB #4,,20.57%,0.17%
FB #3,,9.67%,9.80%
Nellie Rx,,22.49%,0.18%
Purple Piss,,19.22%,0.23%
Garden A 1170-E,,0.92%,16.60%
GDP,,15.57%,0.16%
Dark Side of the Moon,,20.76%,0.17%
Black Cherry Soda,,26.78%,0.24%
Purple Kush,,17.28%,0.19%
MK Ultra 2.16,,19.85%,0.28%
1996 Canatonic Resin Seeds,,0.86%,9.12%
Platinum Banana OG,,18.53%,0.25%
Cheese,,22.35%,0.34%
BH,,16.95%,0.22%
BD,,18.81%,0.15%
AGK,,19.16%,0.17%
Exp,,14.64%,0.16%
Allen Wrench,,18.79%,0.14%
Hawaiian Dutch,,20.74%,0.23%
DJ Short Blueberry,,20.23%,0.14%
GSC CBD #1,,6.54%,10.73%
Cone,,12.02%,1.15%
GSC (Tacoma Grow),,18.47%,0.12%
European Sour Diesel,,20.33%,0.19%
Dragon Lady,,22.81%,0.35%
Hellsfire,,29.30%,0.27%
Jamaican Dream,,18.41%,0.11%
Clementine,,27.40%,0.24%
Citrus Sap,,22.03%,0.12%
Blue Dream,,20.89%,0.22%
Cotton Candy Kush,,15.52%,0.13%
9 Pound Hammer,,18.73%,0.17%
Shiva Skunk,,19.69%,0.17%
Charlotte’s Web,,6.38%,10.52%
Harlequin,,21.87%,0.24%
Suga Cane,,N/A,N/A
Cascadia Kush,,N/A,N/A
Blue Dream,,N/A,N/A
Harlequin BX H1,,0.61%,13.45%
Pineapple Kush,,22.22%,0.21%
Cherry Kush,,16.81%,0.19%
Dutch Treat,,21.22%,< 0.01%
White Bronco,,16.34%,0.19%
Ogre,,8.35%,0.05%
Strawberry Banana Kush,,17.38%,0.14%
Purple Nepal,,17.02%,0.13%
Master Kush,,22.88%,0.16%
9 Pound Hammer,,17.49%,0.16%
509 Glue,,24.52%,0.29%
BBK: Blackberry Kush,,N/A,N/A
PSD: Purple Sour Diesel,,N/A,N/A
Sweet Black Angel,,14.64%,0.21%
Love Triangle,,26.68%,0.32%
Orange Kush,,21.18%,0.22%
Gorilla Glue,,19.10%,0.08%
Cookies,,17.11%,0.09%
Purple Max,,17.94%,0.15%
Durban Poison 7B01-A26-1,,22.28%,0.19%
MK Ultra 7A01-A26-1,,20.77%,0.16%
Purple Kush 7B02-A02-1,,19.02%,0.12%
Ace of Spades,,17.51%,0.16%
Dutch Barre,,21.42%,0.21%
Lavender,,19.16%,0.11%
Strain A (Cookies),,16.00%,0.19%
Purple Durban,,21.79%,0.11%
Blue Dream,,18.90%,0.38%
Remedy,,1.02%,15.07%
UW Purps,,17.71%,< 0.01%
Gorilla Glue #4,,18.28%,0.20%
Kandy,,13.45%,0.15%
Harlequin,,16.37%,0.04%
Blue Cheese,,12.67%,0.07%
Cotton Candy,,14.97%,0.15%
Cherry Pie,,N/A,N/A
Gorilla Glue,,N/A,N/A
Big Dirty,,N/A,N/A
Blackberry,,19.59%,0.17%
3x Crag (Ridgeway CG),,17.67%,0.11%
Plushberry,,18.08%,0.16%
GSC (Ridgeway (G),,18.22%,0.13%
Green Crack (Ridgeway (G),,19.56%,0.15%
J1 (Ridgeway (G),,21.95%,0.26%
REM (Ridgeway (G),,18.59%,0.29%
Abusive OG,,13.70%,0.04%
AC/DC,,4.84%,8.98%
Cookies,,21.97%,0.14%
7th Heaven,,18.41%,0.12%
Terpena Nirvana,,16.28%,0.09%
Mars,,18.17%,0.03%
Purple Kush X,,20.31%,0.06%
HPS,,20.34%,0.19%
PZK,,22.43%,0.28%
BA,,20.16%,0.13%
DC,,19.60%,0.25%
DF AN,,18.92%,0.18%
DF HG,,21.22%,0.18%
AM,,23.10%,0.25%
CG,,14.23%,0.21%
AC/DC Danny,,0.92%,13.45%
Gorilla Glue #4 R,,21.18%,0.03%
Crazy Miss Hyde TC,,14.56%,< 0.01%
Gorilla Glue #4 Rasbaca,,24.41%,0.24%
Super Chunk TC,,13.77%,0.24%
Purple Sour Diesel TC,,19.38%,0.19%
Power Plant TC,,21.52%,0.01%
Jilly Bean,,27.20%,0.25%
Bay Dream,,22.63%,0.26%
Agent Orange,,23.60%,0.15%
Cinex,,21.84%,0.22%
Trainwreck,,14.16%,0.22%
9lb Hammer,,22.00%,0.46%
Flubber,,18.07%,0.09%
Shaman’s Rx,,21.98%,0.28%
Silver Blue Star,,19.08%,0.18%
Silver Star,,11.57%,0.11%
Tangerine,,17.25%,0.19%
Rocket Man,,22.00%,0.21%
Red Star,,16.80%,0.19%
PR-1501,,0.63%,11.52%
Jeral Dean,,21.38%,0.13%
Lemon Skunk,,22.24%,0.14%
PHB,,4.05%,4.59%
Space Bomb,,14.89%,0.11%
Chewy (Chronically on Time),,19.19%,0.24%
GWP-4601,,0.91%,16.52%
Bubba Kush,,N/A,N/A
Blue Cinex,,N/A,N/A
Gorilla Glue,,N/A,N/A
Blue City Diesel,,N/A,N/A
Sweet Pink Grapefruit,,N/A,N/A
Agent Orange,,N/A,N/A
MiaGrow Jesus OG Kush,,18.27%,0.21%
MiaGrow The Flav,,21.68%,0.26%
Botanicare The Flav,,21.71%,0.32%
Advance Nutrients Jesus OG Kush,,20.77%,0.47%
Advance Nutrients The Flav,,24.54%,0.23%
Botanicare Jesus OG Kush,,22.62%,0.29%
Grape Ape,,N/A,N/A
Super Skunk,,N/A,N/A
Lemon Pledge,,N/A,N/A
True OG (GGG),,24.97%,0.26%
Benzo Farms Marionberry,,19.49%,0.15%
PIT 7B 01-A12-1,,19.51%,0.15%
Gra Fu 7A01-A12-1,,18.73%,0.14%
GSC 7B12-A29-1,,16.68%,0.14%
CBD Hybrid Sample,,19.09%,0.16%
Blue Dream,,,
Lemon,,,
OC,,,
Critical Jack,,23.71%,0.05%
MiaGrow Sunshine #4 Purple Diesel,,15.77%,0.21%
MiaGrow ProMix Purple Diesel,,15.84%,0.17%
MiaGrow ProMix Platinum GSC,,18.88%,0.22%
Advance Nutrients ProMix Purple Diesel,,15.38%,0.06%
Advance Nutrients ProMix Platinum GSC,,19.99%,0.18%
Botanicare ProMix Purple Diesel,,15.38%,0.16%
Botanicare ProMix Platinum GSC,,17.85%,0.16%
Advance Nutrients Sunshine #4 Purple Diesel,,16.77%,0.20%
Juicy Fruit,,18.62%,0.07%
Blue Dream,,18.44%,0.17%
Hellsfire #9,,31.00%,0.27%
Headband,,N/A,N/A
Dutch Treat,,22.61%,0.22%
Puget Sour #6,,20.29%,0.29%
MBS Kush #13,,20.03%,0.21%
Puget Sour #7,,13.47%,0.15%
Sugar Black Rose,,17.38%,0.12%
Black 84,,23.93%,0.20%
Merlot,,21.77%,0.22%
Sapphire Scout (Best Buds),,27.66%,0.17%
Sour Pez,,17.13%,0.21%
Snow Monster,,20.74%,0.15%
Hindu Kush,,18.14%,0.16%
Clementine,,24.18%,0.29%
Hellsfire #10,,26.77%,0.27%
Shiva Skunk,,18.16%,0.22%
Cherry Pie,,20.71%,0.19%
Auorey 2 (The Wizard’s Garden),,7.09%,11.97%
Cenarius (The Wizard’s Garden),,5.23%,9.92%
Incognito (The Wizard’s Garden),,0.86%,16.76%
The Remedy (The Wizard’s Garden),,0.75%,13.99%
Franken Berry,,16.35%,0.14%
Raskals OG Kush,,24.04%,0.24%
East Coast Sour Diesel,,24.68%,0.20%
UOG x PSA,,20.12%,0.13%
Dutch Treat (S),,26.42%,0.26%
Dutch Treat (M),,24.11%,0.24%
GG#4,,21.32%,0.13%
Allen Wrench,,20.35%,0.15%
Cotton Candy,,19.86%,0.18%
OG Frost,,21.78%,0.20%
Hwy 101,,19.31%,0.20%
Hari-Tsu,,4.09%,9.14%
Godberry,,16.18%,0.34%
Girl Scout Cookies,,17.16%,0.41%
Evergreen Tsunami,,0.88%,17.27%
Black Diesel,,17.10%,0.17%
Strawberry Cough XXX,,15.44%,0.21%
Mango,,17.49%,0.52%
Purple Coles,,19.38%,0.19%
Pineapple Chunk,,13.73%,0.17%
C.C. x B11 #2,,25.89%,0.28%
G.G.,,22.59%,0.12%
C.C. x B11 #5,,17.76%,0.17%
C.C. x B11 #3,,17.31%,0.19%
G.D.P. x B11 #4,,19.56%,0.16%
C.G. x B11 #1,,18.41%,0.11%
P.C. x B11 #4,,15.89%,0.10%
C.G. x B11 #8,,27.63%,0.26%
H.W.,,20.43%,0.22%
P.C. x B11 #1,,15.90%,0.33%
D.B. #1,,19.96%,0.18%
G.D.P. x B11 #2,,24.35%,0.18%
D.U.,,25.03%,0.17%
H.W. x B11 #4,,20.70%,0.21%
C.G. x B11 #3,,20.38%,0.13%
G.D.P. x B11 #6,,25.04%,0.18%
H.W. x B11 #3,,23.97%,0.23%
C.C. x B11 #1,,22.35%,0.28%
Sinmint Cookies,,28.32%,0.28%
Flower #1,,1.21%,< 0.01%
Cornbread,,18.92%,0.10%
Bubba,,23.11%,0.15%
Chem Dawg #4,,21.06%,0.17%
Qrazy Train,,26.65%,0.22%
SKE-Shit killed Elvis,,19.37%,0.19%
Jack the Ripper,,19.32%,0.17%
Boggle Gum,,15.91%,0.16%
LA Kush,,14.57%,0.11%
Strawberry Cough,,10.47%,0.11%
Blue Master,,21.01%,0.20%
Silvertip,,22.58%,< 0.01%
Tahoe OG,,19.26%,< 0.01%
Hawaiian,,17.45%,0.14%
Orange Blossom,,17.17%,< 0.01%
G Force,,14.77%,0.20%
G Force,,16.19%,0.06%
Da White,,16.65%,0.03%
Outlaw OG,,17.34%,0.08%
Outlaw OG,,14.03%,0.05%
9LB,,23.74%,0.23%
SD,,20.39%,0.18%
Stephen Hawking Kush,,0.89%,13.65%
Penelope’s Petrol Sidecar,,15.14%,3.42%
Penelope’s Anastasia,,8.64%,6.17%
Blue Dream,,21.28%,0.23%
Jack’s Cleaner,,15.96%,0.18%
Blue Haze,,20.82%,0.22%
Chemdawg,,22.54%,0.20%
NYPD,,21.89%,0.17%
Magnum P.I.,,14.70%,0.24%
Grape Romulan,,12.85%,0.09%
Blue Dream (CJ),,22.29%,0.16%
Cotton Candy,,16.87%,0.07%
Obama,,17.03%,0.05%
Girl Scout Cookie (CJ),,20.00%,0.23%
Blueberry Diesel – LED,,12.70%,0.16%
Jack Herer,,19.76%,0.29%
Harlequin,,6.81%,12.40%
Queen of Diamonds,,20.46%,0.25%
Pink Pineapple,,15.01%,0.19%
Sensi Star,,20.19%,0.24%
Grape Puff (General Mills),,13.98%,0.16%
Shiatsu 2,,5.28%,8.52%
Churrias Kush (Mr. Nice Guy),,17.25%,0.17%
WL7A01-A12-3,,15.14%,0.12%
CBD-7BQ1-A05-1,,0.82%,11.81%
MTF7A01-A12-4,,21.71%,0.25%
Wild Mint,,26.54%,0.29%
Northern Lights,,23.95%,0.17%
Cranberry Delight,,0.92%,13.79%
Hemp (Natural Daze),,4.88%,0.06%
Sour Tsunami (Natural Daze),,0.60%,8.25%
Jackpot,,18.41%,0.15%
Platinum Girl Scout Cookie,,23.23%,0.12%
White Star,,25.23%,0.22%
Super Lemon Haze,,19.08%,0.29%
Headband,,19.44%,0.16%
Stink Bomb Rx (Green Solutions),,27.34%,0.27%
Gorilla Glue #4,,19.62%,0.11%
PGSC (Sonic Farms),,13.11%,0.03%
DT-13,,19.89%,0.20%
Nurse Jackie,,23.41%,0.13%
Indoganics,,28.55%,0.22%
Optimus Prime (Green Hand),,13.81%,0.11%
Bubba Scout,,19.36%,0.04%
Bay Dream,,22.81%,0.21%
Secret Recipe,,21.18%,0.17%
Dirty Girl,,20.13%,0.17%
White Fire Alien OG,,20.35%,0.19%
Green Marvel,,15.82%,0.17%
White Tea Biscuits,,21.94%,0.20%
Chocolate Thai,,22.06%,0.23%
Galactic Jack,,21.38%,0.12%
Jack Herer,,18.06%,0.20%
Blue Dream,,21.51%,0.24%
Cookies & Cream,,21.14%,0.09%
B,,17.25%,0.11%
Ghost Train Haze 2,,12.59%,0.12%
Sour Tsu,,0.43%,8.13%
Middle Fork,,15.77%,0.08%
Gorilla Glue #4,,24.09%,0.14%
Cherry Pie,,17.47%,0.10%
Black Betty,,21.84%,0.13%
Holy Grail OG,,16.49%,0.20%
Double Dream,,20.67%,0.14%
Lime Green Skunk,,22.14%,0.17%
Thin Mint Cookies,,25.42%,0.15%
Rottweiler,,19.11%,0.16%
Charlot’s Web,,6.76%,10.61%
Marionberry Kush #8,,17.98%,0.12%
Marionberry Kush #1,,19.97%,0.15%
Fruit Punch,,20.31%,0.21%
Nick’s Animal Cookies,,15.50%,0.14%
Nick’s Alien OG Bx,,22.70%,0.14%
Puff Puff Pass Out,,14.12%,0.14%
Nick’s Tahoe OG,,18.44%,0.21%
Keith’s Sour Diesel,,18.16%,0.19%
Keith’s Blue Dream,,16.43%,0.28%
Orange Skunk,,22.40%,0.13%
Double Dream,,13.47%,0.09%
John Seckar Kush (JSK),,16.65%,0.18%
OG Flow (Chino),,15.22%,0.09%
Chino’s Kush (Chino),,21.22%,0.28%
Churria’s Kush (Ingrid + Train Wreck),,16.92%,0.22%
The White,,29.35%,0.25%
Kimbo Kush #2,,21.62%,0.23%
Kimbo Kush #1,,20.04%,0.22%
Fruity Pebbles OG,,21.97%,0.30%
The White,,26.93%,0.21%
Stoney Starfighter,,19.69%,0.14%
Alien Starfighter #1,,20.39%,0.16%
Black Spirit,,22.02%,0.15%
Alien Starfighter #2,,19.00%,0.17%
Lavender,,16.62%,0.10%
Dutch Treat,,23.51%,0.20%
Cynex,,10.37%,0.04%
Blue Dream,,23.55%,0.19%
H10 A1,,0.45%,9.32%
H08 A1,,0.36%,6.57%
Dutch Treat (Clover Creek Gardens),,18.60%,0.13%
Promiscuous Mother,,5.80%,8.40%
Stephen Hawking CBD,,4.49%,7.68%
Monster,,24.38%,0.15%
The White,,25.73%,0.16%
Pineapple,,15.96%,0.15%
AK47,,13.85%,0.14%
9lb Hammer (Benzo Farms),,20.01%,0.17%
UW Purple,,21.61%,0.20%
Sour Tsunami W9,,0.79%,11.86%
T&R Pineapple Express,,20.77%,0.16%
Phat Stix (Blackberry),,9.82%,0.07%
Chocolate Hashberry,,19.05%,0.13%
Gorilla Scout,,20.03%,0.16%
White Heat,,26.00%,0.30%
