Sample,Strain,THC-Total,CBD-Total
M #6,,2.21%,0.10%
M #4,,0.67%,1.05%
M #3,,1.24%,1.63%
M #2,,0.15%,0.86%
M #1,,0.54%,0.68%
MB #1 F,,5.37%,0.12%
UF x BD #59 F,,6.00%,0.12%
MW F,,4.29%,0.11%
UF #3 F,,5.90%,0.03%
F-24,,5.63%,0.11%
BD x UF #1 F,,4.31%,0.04%
BD #11 F,,3.85%,0.14%
UF x BD #60,,< 0.01%,< 0.01%
#2,,13.48%,0.18%
HTSU CBD,,1.33%,19.90%
Industrial Plant CBD,,5.82%,7.29%
Dutch Treat 80-20,,18.27%,0.16%
Curious George Tester,,0.45%,6.76%
Purple Jolly Rancher,,14.45%,0.14%
Purple Jolly Rancher,,15.69%,0.14%
Purple Jolly Rancher,,16.51%,0.13%
POST RUN #1,,1.81%,0.06%
King Kong Kush,,26.55%,0.16%
Lemon Jack 0463,,23.64%,0.15%
Lemon Jack 0464,,22.84%,0.18%
Lemon Jack 0466,,22.57%,0.12%
Lemon Jack 0465,,21.88%,0.25%
Lemon Jack 0462,,21.24%,0.22%
King Kong Kush 3517,,28.39%,0.14%
OBC #4,,9.32%,0.06%
OBC #2,,14.15%,0.09%
Green Star,,18.10%,0.06%
Kimbo Kush,,16.49%,0.07%
OBC #5,,13.42%,0.07%
UK Cheese 0972,,16.51%,0.10%
Pink Pez 5874,,19.06%,0.08%
Protected: Willy Wonka 5865,,19.12%,0.08%
Protected: Willy Wonka 2322,,15.72%,0.10%
9# Hammer,,24.49%,0.10%
Cheese,,13.66%,0.06%
#1,,20.05%,0.14%
Sample C Bottom,,0.79%,16.49%
Sample B Mid,,0.70%,16.18%
Sample A Top,,0.51%,11.25%
Protected: Blue Dream 1292,,15.70%,0.08%
Cure,,6.75%,10.20%
Blue Dream,,26.19%,0.12%
Animal OG,,26.20%,0.15%
Limon OG,,25.60%,0.26%
2010 F2,,1.57%,15.73%
Jack,,24.75%,0.29%
Harley Tsu,,1.18%,14.93%
Lemon,,19.59%,0.05%
AK-47,,17.12%,0.07%
Blue Ox,,20.85%,0.15%
