id_x,names,type,crosses,breeder,effects,ailment,flavor,name,category,THC-Total,CBD-Total
3911,OG / Mr. Nice,Hybrid,,Unknown Breeder,,,,,,,
3912,Mango Punch,Hybrid,,Unknown Breeder,,,,Mango Punch - Oil,"Concentrate,Oil,",,
3913,A3,Hybrid,,Unknown Breeder,,,,A3 - Shatter,"Concentrate,Shatter,",,
3914,Fruit Kush,Hybrid,,Unknown Breeder,,,,Fruit Kush - Shatter,"Concentrate,Shatter,",,
3915,Juicy 99,Hybrid,,Unknown Breeder,,,,Juicy 99 - Shatter,"Concentrate,Shatter,",,
3916,Vanilla Diesel,Hybrid,,Unknown Breeder,,,,Vanilla Diesel - Water Hash,"Concentrate,Bubble Hash,",,
3917,Diamond Cutter OG,Hybrid,,Unknown Breeder,,,,,,,
3918,Tyrone Special,Hybrid,,Mephisto Genetics,,,,,,,
3919,Toof Decay,Hybrid,,Mephisto Genetics,,,,,,,
3920,Sweet Collision,Hybrid,,Jaws Gear,,,,,,,
3921,Sugar Magnolia,Hybrid,,Mother Chucker Seeds,,,,,,,
3922,OG Bubba,Hybrid,,Unknown Breeder,,,,,,,
3923,Sour Hound,Hybrid,,Mephisto Genetics,,,,,,,
3924,Chemdogging,Hybrid,,Mephisto Genetics,,,,,,,
3925,Sour Bubbly,Hybrid,,Mephisto Genetics,,,,,,,
3926,Hubbabubbasmelloscope,Hybrid,,Mephisto Genetics,,,,,,,
3927,Smart Alex,Hybrid,,Riot Seeds,,,,,,,
3928,Clockwork Orange (Riot),Hybrid,,Riot Seeds,,,,,,,
3929,Clockwork Orange,Hybrid,,Unknown Breeder,,,,,,,
3930,ShishKaCrack F1,Hybrid,,GreenMan Organics,,,,,,,
3931,Shish99,Hybrid,,Kingdom Organic Seeds,,,,,,,
3932,Purple Fuck V2,Hybrid,,Riot Seeds,,,,,,,
3933,Purple Fuck V1,Hybrid,,Riot Seeds,,,,,,,
3934,Purple Bubba Crack,Hybrid,,Riot Seeds,,,,,,,
3935,Platinum Banana Crack,Hybrid,,Riot Seeds,,,,,,,
3936,Mr. Burns,Hybrid,,Mother Chucker Seeds,,,,,,,
3937,Mack Da Knife OGK,Hybrid,,Bean Boyz Genetics,,,,,,,
3938,Longboard,Hybrid,,Mother Chucker Seeds,,,,,,,
3939,Lemon Mango OG,Hybrid,,Apothecary Seed Company,,,,,,,
3940,Mango Lemon OG,Hybrid,,Unknown Breeder,,,,,,,
3941,Lemon Malawi Wreck F1,Hybrid,,GreenMan Organics,,,,,,,
3942,Cherry Malawi,Hybrid,,Kingdom Organic Seeds,,,,,,,
3943,Killer Crack,Hybrid,,Riot Seeds,,,,,,,
3944,Hot Box,Hybrid,,Mother Chucker Seeds,,,,,,,
3945,Grape Stompin Crack,Hybrid,,Riot Seeds,,,,,,,
3946,Deep Wreck F1,Hybrid,,GreenMan Organics,,,,,,,
3947,Lemon Grenade,Hybrid,,Unknown Breeder,,,,,,,
3948,Dead Dawg Queen,Hybrid,,Bean Boyz Genetics,,,,,,,
3949,De Grape Trainwreck #5,Hybrid,,Bean Boyz Genetics,,,,,,,
3950,Dark Night,Hybrid,,Mother Chucker Seeds,,,,,,,
3951,Craze,Hybrid,,TreeTown Seeds,,,,,,,
3952,Crack Wreck,Hybrid,,Unknown Breeder,,,,,,,
3953,Velvet Cookies,Hybrid,,Unknown Breeder,,,,,,,
3954,Skins Skunk,Hybrid,,Loud Seeds,,,,,,,
3955,8 Mile,Hybrid,,Loud Seeds,,,,,,,
3956,Michigan Skunk,Hybrid,,Unknown Breeder,,,,,,,
3957,Premium Jack,Hybrid,,Unknown Breeder,,,,,,,
3958,Elusive OG,Hybrid,,Exotic Genetix,,,,,,,
3959,Hashwrecker,Hybrid,,Unknown Breeder,,,,,,,
3960,Purple Cream OG,Hybrid,,GREENLIFE Seeds,,,,,,,
